Precision	Recall	Confidence
0.659439713304246	0.11603627376041603	0.833
0.6589761915234997	0.11695094533807104	0.832
0.6588701899264834	0.11804882463712031	0.831
0.6577331644442224	0.11923965958486135	0.83
0.6569094061886207	0.1205757653168354	0.829
0.6560427654852405	0.12150920405777631	0.827
0.6560427654852405	0.12150920405777631	0.828
0.6566688815534122	0.12227236321953801	0.826
0.656869789076138	0.1257545675304716	0.825
0.6555532796972368	0.12584664856177916	0.824
0.6545248602807494	0.12711011192469002	0.823
0.6547004044694616	0.12806315059872317	0.822
0.6548513203974476	0.13125481467436512	0.821
0.6542252238716808	0.1333661011779168	0.82
0.6522911924049677	0.13390692749031866	0.819
0.6524455715888444	0.13464766823105942	0.818
0.6540871994765202	0.13822659390943262	0.817
0.654144863850774	0.13905779463013612	0.816
